
EIC;;38ZEE-0012345-0;
SERIAL_NUMBER;;13835262;
REGISTER;;Aktiiv + h;

STARTTIME;ENDTIME;ENERGY
01.07.2014 00:00;01.07.2014 01:00;0,098;
01.07.2014 01:00;01.07.2014 02:00;0,131;
01.07.2014 02:00;01.07.2014 03:00;0,095;
01.07.2014 03:00;01.07.2014 04:00;0,129;
01.07.2014 04:00;01.07.2014 05:00;0,218;
01.07.2014 05:00;01.07.2014 06:00;0,482;
01.07.2014 06:00;01.07.2014 07:00;0,304;
01.07.2014 07:00;01.07.2014 08:00;0,223;
01.07.2014 08:00;01.07.2014 09:00;0,216;
01.07.2014 09:00;01.07.2014 10:00;0,138;
01.07.2014 10:00;01.07.2014 11:00;0,207;
01.07.2014 11:00;01.07.2014 12:00;0,237;
01.07.2014 12:00;01.07.2014 13:00;0,43;
01.07.2014 13:00;01.07.2014 14:00;0,253;
01.07.2014 14:00;01.07.2014 15:00;0,205;
01.07.2014 15:00;01.07.2014 16:00;0,161;
01.07.2014 16:00;01.07.2014 17:00;0,182;
01.07.2014 17:00;01.07.2014 18:00;0,249;
01.07.2014 18:00;01.07.2014 19:00;0,149;
01.07.2014 19:00;01.07.2014 20:00;0,273;
01.07.2014 20:00;01.07.2014 21:00;0,238;
01.07.2014 21:00;01.07.2014 22:00;0,162;
01.07.2014 22:00;01.07.2014 23:00;0,129;
01.07.2014 23:00;02.07.2014 00:00;0,097;
02.07.2014 00:00;02.07.2014 01:00;0,131;
02.07.2014 01:00;02.07.2014 02:00;0,164;
02.07.2014 02:00;02.07.2014 03:00;0,128;
02.07.2014 03:00;02.07.2014 04:00;0,11;
02.07.2014 04:00;02.07.2014 05:00;0,127;
02.07.2014 05:00;02.07.2014 06:00;0,47;
02.07.2014 06:00;02.07.2014 07:00;0,31;
02.07.2014 07:00;02.07.2014 08:00;0,379;
02.07.2014 08:00;02.07.2014 09:00;0,045;
02.07.2014 09:00;02.07.2014 10:00;0,014;
02.07.2014 10:00;02.07.2014 11:00;0,022;
02.07.2014 11:00;02.07.2014 12:00;0,026;
02.07.2014 12:00;02.07.2014 13:00;0,194;
02.07.2014 13:00;02.07.2014 14:00;0,046;
02.07.2014 14:00;02.07.2014 15:00;0,007;
02.07.2014 15:00;02.07.2014 16:00;0,01;
02.07.2014 16:00;02.07.2014 17:00;0,054;
02.07.2014 17:00;02.07.2014 18:00;0,012;
02.07.2014 18:00;02.07.2014 19:00;0,071;
02.07.2014 19:00;02.07.2014 20:00;0,025;
02.07.2014 20:00;02.07.2014 21:00;0,025;
02.07.2014 21:00;02.07.2014 22:00;0,053;
02.07.2014 22:00;02.07.2014 23:00;0,156;
02.07.2014 23:00;03.07.2014 00:00;0,108;
03.07.2014 00:00;03.07.2014 01:00;0,207;
03.07.2014 01:00;03.07.2014 02:00;0,121;
03.07.2014 02:00;03.07.2014 03:00;0,132;
03.07.2014 03:00;03.07.2014 04:00;0,127;
03.07.2014 04:00;03.07.2014 05:00;0,139;
03.07.2014 05:00;03.07.2014 06:00;0,417;
03.07.2014 06:00;03.07.2014 07:00;0,337;
03.07.2014 07:00;03.07.2014 08:00;0,371;
03.07.2014 08:00;03.07.2014 09:00;0,031;
03.07.2014 09:00;03.07.2014 10:00;0,019;
03.07.2014 10:00;03.07.2014 11:00;0,014;
03.07.2014 11:00;03.07.2014 12:00;0,093;
03.07.2014 12:00;03.07.2014 13:00;0,156;
03.07.2014 13:00;03.07.2014 14:00;0,036;
03.07.2014 14:00;03.07.2014 15:00;0,016;
03.07.2014 15:00;03.07.2014 16:00;0,038;
03.07.2014 16:00;03.07.2014 17:00;0,087;
03.07.2014 17:00;03.07.2014 18:00;0,067;
03.07.2014 18:00;03.07.2014 19:00;0,013;
03.07.2014 19:00;03.07.2014 20:00;0,032;
03.07.2014 20:00;03.07.2014 21:00;0,057;
03.07.2014 21:00;03.07.2014 22:00;0,051;
03.07.2014 22:00;03.07.2014 23:00;0,07;
03.07.2014 23:00;04.07.2014 00:00;0,054;
04.07.2014 00:00;04.07.2014 01:00;0,109;
04.07.2014 01:00;04.07.2014 02:00;0,047;
04.07.2014 02:00;04.07.2014 03:00;0,027;
04.07.2014 03:00;04.07.2014 04:00;0,042;
04.07.2014 04:00;04.07.2014 05:00;0,085;
04.07.2014 05:00;04.07.2014 06:00;0,375;
04.07.2014 06:00;04.07.2014 07:00;0,299;
04.07.2014 07:00;04.07.2014 08:00;0,247;
04.07.2014 08:00;04.07.2014 09:00;0,046;
04.07.2014 09:00;04.07.2014 10:00;0,02;
04.07.2014 10:00;04.07.2014 11:00;0,02;
04.07.2014 11:00;04.07.2014 12:00;0,043;
04.07.2014 12:00;04.07.2014 13:00;0,312;
04.07.2014 13:00;04.07.2014 14:00;0,018;
04.07.2014 14:00;04.07.2014 15:00;0,066;
04.07.2014 15:00;04.07.2014 16:00;0,009;
04.07.2014 16:00;04.07.2014 17:00;0,106;
04.07.2014 17:00;04.07.2014 18:00;0,034;
04.07.2014 18:00;04.07.2014 19:00;0,07;
04.07.2014 19:00;04.07.2014 20:00;0,426;
04.07.2014 20:00;04.07.2014 21:00;0,326;
04.07.2014 21:00;04.07.2014 22:00;0,227;
04.07.2014 22:00;04.07.2014 23:00;0,121;
04.07.2014 23:00;05.07.2014 00:00;0,182;
05.07.2014 00:00;05.07.2014 01:00;0,129;
05.07.2014 01:00;05.07.2014 02:00;0,101;
05.07.2014 02:00;05.07.2014 03:00;0,132;
05.07.2014 03:00;05.07.2014 04:00;0,097;
05.07.2014 04:00;05.07.2014 05:00;0,2;
05.07.2014 05:00;05.07.2014 06:00;0,496;
05.07.2014 06:00;05.07.2014 07:00;0,28;
05.07.2014 07:00;05.07.2014 08:00;0,221;
05.07.2014 08:00;05.07.2014 09:00;0,198;
05.07.2014 09:00;05.07.2014 10:00;0,136;
05.07.2014 10:00;05.07.2014 11:00;0,207;
05.07.2014 11:00;05.07.2014 12:00;0,151;
05.07.2014 12:00;05.07.2014 13:00;0,339;
05.07.2014 13:00;05.07.2014 14:00;0,241;
05.07.2014 14:00;05.07.2014 15:00;0,201;
05.07.2014 15:00;05.07.2014 16:00;0,17;
05.07.2014 16:00;05.07.2014 17:00;0,306;
05.07.2014 17:00;05.07.2014 18:00;0,209;
05.07.2014 18:00;05.07.2014 19:00;0,326;
05.07.2014 19:00;05.07.2014 20:00;0,232;
05.07.2014 20:00;05.07.2014 21:00;0,243;
05.07.2014 21:00;05.07.2014 22:00;0,254;
05.07.2014 22:00;05.07.2014 23:00;0,228;
05.07.2014 23:00;06.07.2014 00:00;0,229;
06.07.2014 00:00;06.07.2014 01:00;0,183;
06.07.2014 01:00;06.07.2014 02:00;0,114;
06.07.2014 02:00;06.07.2014 03:00;0,132;
06.07.2014 03:00;06.07.2014 04:00;0,101;
06.07.2014 04:00;06.07.2014 05:00;0,132;
06.07.2014 05:00;06.07.2014 06:00;0,212;
06.07.2014 06:00;06.07.2014 07:00;0,56;
06.07.2014 07:00;06.07.2014 08:00;0,251;
